Term,Name
GO:0007031,peroxisome organization
GO:0019318,hexose metabolic process
GO:0032870,cellular response to hormone stimulus
GO:0009267,cellular response to starvation
GO:0071426,ribonucleoprotein complex export from nucleus
GO:0015746,citrate transport
GO:0009084,glutamine family amino acid biosynthetic process
GO:0007006,mitochondrial membrane organization
GO:0006403,RNA localization
GO:0009235,cobalamin metabolic process
GO:0051202,phytochromobilin metabolic process
GO:0097237,cellular response to toxic substance
GO:0006591,ornithine metabolic process
GO:0044772,mitotic cell cycle phase transition
GO:0006357,regulation of transcription by RNA polymerase II
GO:0010016,shoot system morphogenesis
GO:0090151,establishment of protein localization to mitochondrial membrane
GO:0009107,lipoate biosynthetic process
GO:0098754,detoxification
GO:1902680,positive regulation of RNA biosynthetic process
GO:0015770,sucrose transport
GO:0019363,pyridine nucleotide biosynthetic process
GO:0034614,cellular response to reactive oxygen species
GO:0019359,nicotinamide nucleotide biosynthetic process
GO:0048646,anatomical structure formation involved in morphogenesis
GO:0017182,peptidyl-diphthamide metabolic process
GO:0006875,cellular metal ion homeostasis
GO:0009089,lysine biosynthetic process via diaminopimelate
GO:0045935,positive regulation of nucleobase-containing compound metabolic process
GO:0071369,cellular response to ethylene stimulus
GO:0016559,peroxisome fission
GO:0048878,chemical homeostasis
GO:0034404,nucleobase-containing small molecule biosynthetic process
GO:0016787,hydrolase activity
GO:0018022,peptidyl-lysine methylation
GO:0042727,flavin-containing compound biosynthetic process
GO:0015074,DNA integration
GO:0045005,DNA-dependent DNA replication maintenance of fidelity
GO:0010921,regulation of phosphatase activity
GO:0006427,histidyl-tRNA aminoacylation
GO:0051236,establishment of RNA localization
GO:0006596,polyamine biosynthetic process
GO:0010044,response to aluminum ion
GO:0000375,"RNA splicing, via transesterification reactions"
GO:0006119,oxidative phosphorylation
GO:0008283,cell population proliferation
GO:0006081,cellular aldehyde metabolic process
GO:0045944,positive regulation of transcription by RNA polymerase II
GO:0010029,regulation of seed germination
GO:0051983,regulation of chromosome segregation
GO:2001057,reactive nitrogen species metabolic process
GO:0046685,response to arsenic-containing substance
GO:0007050,cell cycle arrest
GO:0009129,pyrimidine nucleoside monophosphate metabolic process
GO:0033044,regulation of chromosome organization
GO:0000819,sister chromatid segregation
GO:0019953,sexual reproduction
GO:0035303,regulation of dephosphorylation
GO:0000413,protein peptidyl-prolyl isomerization
GO:0006222,UMP biosynthetic process
GO:0071427,mRNA-containing ribonucleoprotein complex export from nucleus
GO:0048522,positive regulation of cellular process
GO:1901264,carbohydrate derivative transport
GO:0006535,cysteine biosynthetic process from serine
GO:0031503,protein-containing complex localization
GO:0007088,regulation of mitotic nuclear division
GO:0043227,membrane-bounded organelle
GO:0009147,pyrimidine nucleoside triphosphate metabolic process
GO:0007346,regulation of mitotic cell cycle
GO:0072488,ammonium transmembrane transport
GO:0071482,cellular response to light stimulus
GO:0022904,respiratory electron transport chain
GO:0010498,proteasomal protein catabolic process
GO:0051253,negative regulation of RNA metabolic process
GO:0006546,glycine catabolic process
GO:0009148,pyrimidine nucleoside triphosphate biosynthetic process
GO:0006568,tryptophan metabolic process
GO:0016791,phosphatase activity
GO:0019362,pyridine nucleotide metabolic process
GO:0043067,regulation of programmed cell death
GO:0009209,pyrimidine ribonucleoside triphosphate biosynthetic process
GO:0005739,mitochondrion
GO:0006635,fatty acid beta-oxidation
GO:0009218,pyrimidine ribonucleotide metabolic process
GO:0005938,cell cortex
GO:0051783,regulation of nuclear division
GO:0019556,histidine catabolic process to glutamate and formamide
GO:0033047,regulation of mitotic sister chromatid segregation
GO:0034227,tRNA thio-modification
GO:0030071,regulation of mitotic metaphase/anaphase transition
GO:0043101,purine-containing compound salvage
GO:0006020,inositol metabolic process
GO:0009653,anatomical structure morphogenesis
GO:0046049,UMP metabolic process
GO:0008216,spermidine metabolic process
GO:0044106,cellular amine metabolic process
GO:0046836,glycolipid transport
GO:0071495,cellular response to endogenous stimulus
GO:0000302,response to reactive oxygen species
GO:0009309,amine biosynthetic process
GO:0061630,ubiquitin protein ligase activity
GO:0051261,protein depolymerization
GO:0006270,DNA replication initiation
GO:0065002,intracellular protein transmembrane transport
GO:0071722,detoxification of arsenic-containing substance
GO:2000765,regulation of cytoplasmic translation
GO:0030245,cellulose catabolic process
GO:0018205,peptidyl-lysine modification
GO:0008215,spermine metabolic process
GO:0009071,serine family amino acid catabolic process
GO:0070585,protein localization to mitochondrion
GO:0006548,histidine catabolic process
GO:0000303,response to superoxide
GO:0009636,response to toxic substance
GO:0051443,positive regulation of ubiquitin-protein transferase activity
GO:0071496,cellular response to external stimulus
GO:0042775,mitochondrial ATP synthesis coupled electron transport
GO:0071450,cellular response to oxygen radical
GO:0048545,response to steroid hormone
GO:0007021,tubulin complex assembly
GO:0051235,maintenance of location
GO:1901659,glycosyl compound biosynthetic process
GO:0009119,ribonucleoside metabolic process
GO:0031396,regulation of protein ubiquitination
GO:0046051,UTP metabolic process
GO:0042430,indole-containing compound metabolic process
GO:0051651,maintenance of location in cell
GO:0032012,regulation of ARF protein signal transduction
GO:0018202,peptidyl-histidine modification
GO:0009723,response to ethylene
GO:0006714,sesquiterpenoid metabolic process
GO:0006771,riboflavin metabolic process
GO:0043096,purine nucleobase salvage
GO:0006069,ethanol oxidation
GO:0004721,phosphoprotein phosphatase activity
GO:0006626,protein targeting to mitochondrion
GO:0006564,L-serine biosynthetic process
GO:0051168,nuclear export
GO:0046083,adenine metabolic process
GO:0042546,cell wall biogenesis
GO:0071407,cellular response to organic cyclic compound
GO:0098813,nuclear chromosome segregation
GO:0006405,RNA export from nucleus
GO:0006553,lysine metabolic process
GO:0045185,maintenance of protein location
GO:0048478,replication fork protection
GO:0046129,purine ribonucleoside biosynthetic process
GO:0030522,intracellular receptor signaling pathway
GO:0006597,spermine biosynthetic process
GO:0007205,protein kinase C-activating G protein-coupled receptor signaling pathway
GO:1901701,cellular response to oxygen-containing compound
GO:0072525,pyridine-containing compound biosynthetic process
GO:0010024,phytochromobilin biosynthetic process
GO:1903322,positive regulation of protein modification by small protein conjugation or removal
GO:0001763,morphogenesis of a branching structure
GO:1901601,strigolactone biosynthetic process
GO:1901600,strigolactone metabolic process
GO:0032011,ARF protein signal transduction
GO:1904668,positive regulation of ubiquitin protein ligase activity
GO:0009251,glucan catabolic process
GO:0050657,nucleic acid transport
GO:0008643,carbohydrate transport
GO:0045040,protein insertion into mitochondrial outer membrane
GO:0030258,lipid modification
GO:0009893,positive regulation of metabolic process
GO:0044784,metaphase/anaphase transition of cell cycle
GO:0006760,folic acid-containing compound metabolic process
GO:0072593,reactive oxygen species metabolic process
GO:0009891,positive regulation of biosynthetic process
GO:1902531,regulation of intracellular signal transduction
GO:0009113,purine nucleobase biosynthetic process
GO:0015671,oxygen transport
GO:0019344,cysteine biosynthetic process
GO:0006370,7-methylguanosine mRNA capping
GO:0071483,cellular response to blue light
GO:0006801,superoxide metabolic process
GO:0008156,negative regulation of DNA replication
GO:0055065,metal ion homeostasis
GO:0043666,regulation of phosphoprotein phosphatase activity
GO:0009812,flavonoid metabolic process
GO:0042401,cellular biogenic amine biosynthetic process
GO:0006534,cysteine metabolic process
GO:0035304,regulation of protein dephosphorylation
GO:0044743,protein transmembrane import into intracellular organelle
GO:0042026,protein refolding
GO:0043401,steroid hormone mediated signaling pathway
GO:0010604,positive regulation of macromolecule metabolic process
GO:0000162,tryptophan biosynthetic process
GO:0046084,adenine biosynthetic process
GO:0050801,ion homeostasis
GO:0046434,organophosphate catabolic process
GO:0045934,negative regulation of nucleobase-containing compound metabolic process
GO:0022900,electron transport chain
GO:1905393,plant organ formation
GO:0006435,threonyl-tRNA aminoacylation
GO:0098869,cellular oxidant detoxification
GO:0031667,response to nutrient levels
GO:0071383,cellular response to steroid hormone stimulus
GO:0042594,response to starvation
GO:0006560,proline metabolic process
GO:0070838,divalent metal ion transport
GO:0006777,Mo-molybdopterin cofactor biosynthetic process
GO:0000160,phosphorelay signal transduction system
GO:0048268,clathrin coat assembly
GO:1901068,guanosine-containing compound metabolic process
GO:1902679,negative regulation of RNA biosynthetic process
GO:0051028,mRNA transport
GO:0000278,mitotic cell cycle
GO:1903507,negative regulation of nucleic acid-templated transcription
GO:0051438,regulation of ubiquitin-protein transferase activity
GO:1901990,regulation of mitotic cell cycle phase transition
GO:0051204,protein insertion into mitochondrial membrane
GO:0030261,chromosome condensation
GO:0052646,alditol phosphate metabolic process
GO:0007265,Ras protein signal transduction
GO:0072511,divalent inorganic cation transport
GO:0042773,ATP synthesis coupled electron transport
GO:0006559,L-phenylalanine catabolic process
GO:0033993,response to lipid
GO:0009785,blue light signaling pathway
GO:0043085,positive regulation of catalytic activity
GO:0051189,prosthetic group metabolic process
GO:0006284,base-excision repair
GO:0006479,protein methylation
GO:0031123,RNA 3'-end processing
GO:0036260,RNA capping
GO:0006817,phosphate ion transport
GO:0031325,positive regulation of cellular metabolic process
GO:0006816,calcium ion transport
GO:0000305,response to oxygen radical
GO:0046113,nucleobase catabolic process
GO:0006558,L-phenylalanine metabolic process
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c"
GO:0015851,nucleobase transport
GO:0006730,one-carbon metabolic process
GO:0042726,flavin-containing compound metabolic process
GO:0042819,vitamin B6 biosynthetic process
GO:0044275,cellular carbohydrate catabolic process
GO:1901336,lactone biosynthetic process
GO:0007059,chromosome segregation
GO:0007186,G protein-coupled receptor signaling pathway
GO:0104004,cellular response to environmental stimulus
GO:0031401,positive regulation of protein modification process
GO:0010346,shoot axis formation
GO:0006487,protein N-linked glycosylation
GO:0007062,sister chromatid cohesion
GO:0009069,serine family amino acid metabolic process
GO:0070588,calcium ion transmembrane transport
GO:0006586,indolalkylamine metabolic process
GO:0043606,formamide metabolic process
GO:0051336,regulation of hydrolase activity
GO:0051254,positive regulation of RNA metabolic process
GO:0009452,7-methylguanosine RNA capping
GO:0052805,imidazole-containing compound catabolic process
GO:0009163,nucleoside biosynthetic process
GO:0046128,purine ribonucleoside metabolic process
GO:0043647,inositol phosphate metabolic process
GO:0046274,lignin catabolic process
GO:0010628,positive regulation of gene expression
GO:0006422,aspartyl-tRNA aminoacylation
GO:0009220,pyrimidine ribonucleotide biosynthetic process
GO:0043069,negative regulation of programmed cell death
GO:0009813,flavonoid biosynthetic process
GO:0009074,aromatic amino acid family catabolic process
GO:0007005,mitochondrion organization
GO:0019720,Mo-molybdopterin cofactor metabolic process
GO:0006402,mRNA catabolic process
GO:0046379,extracellular polysaccharide metabolic process
GO:0006915,apoptotic process
GO:0043066,negative regulation of apoptotic process
GO:0051275,beta-glucan catabolic process
GO:0045786,negative regulation of cell cycle
GO:0019320,hexose catabolic process
GO:0009991,response to extracellular stimulus
GO:0002182,cytoplasmic translational elongation
GO:0010557,positive regulation of macromolecule biosynthetic process
GO:0043226,organelle
GO:0016036,cellular response to phosphate starvation
GO:0006749,glutathione metabolic process
GO:0006007,glucose catabolic process
GO:0009408,response to heat
GO:0034968,histone lysine methylation
GO:0051247,positive regulation of protein metabolic process
GO:0043624,cellular protein complex disassembly
GO:0043631,RNA polyadenylation
GO:0090329,regulation of DNA-dependent DNA replication
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0072596,establishment of protein localization to chloroplast
GO:0016071,mRNA metabolic process
GO:0008295,spermidine biosynthetic process
GO:0098732,macromolecule deacylation
GO:0010965,regulation of mitotic sister chromatid separation
GO:0015696,ammonium transport
GO:0018208,peptidyl-proline modification
GO:0019464,glycine decarboxylation via glycine cleavage system
GO:0008380,RNA splicing
GO:0019748,secondary metabolic process
GO:0006544,glycine metabolic process
GO:0006415,translational termination
GO:0032957,inositol trisphosphate metabolic process
GO:0072529,pyrimidine-containing compound catabolic process
GO:0015772,oligosaccharide transport
GO:0042278,purine nucleoside metabolic process
GO:0002098,tRNA wobble uridine modification
GO:0009605,response to external stimulus
GO:0006006,glucose metabolic process
GO:0062197,cellular response to chemical stress
GO:0032984,protein-containing complex disassembly
GO:0071166,ribonucleoprotein complex localization
GO:0009130,pyrimidine nucleoside monophosphate biosynthetic process
GO:0042816,vitamin B6 metabolic process
GO:0044093,positive regulation of molecular function
GO:0007585,respiratory gaseous exchange by respiratory system
GO:0006430,lysyl-tRNA aminoacylation
GO:0046578,regulation of Ras protein signal transduction
GO:0071941,nitrogen cycle metabolic process
GO:0006021,inositol biosynthetic process
GO:0019430,removal of superoxide radicals
GO:0050658,RNA transport
GO:0009396,folic acid-containing compound biosynthetic process
GO:0071478,cellular response to radiation
GO:0009070,serine family amino acid biosynthetic process
GO:0016571,histone methylation
GO:0045039,protein insertion into mitochondrial inner membrane
GO:0006208,pyrimidine nucleobase catabolic process
GO:0042455,ribonucleoside biosynthetic process
GO:0031668,cellular response to extracellular stimulus
GO:0046168,glycerol-3-phosphate catabolic process
GO:0015766,disaccharide transport
GO:0006563,L-serine metabolic process
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
GO:0015669,gas transport
GO:0046036,CTP metabolic process
GO:0035601,protein deacylation
GO:0006241,CTP biosynthetic process
GO:0018196,peptidyl-asparagine modification
GO:0051347,positive regulation of transferase activity
GO:0009894,regulation of catabolic process
GO:0055082,cellular chemical homeostasis
GO:0006072,glycerol-3-phosphate metabolic process
GO:0007007,inner mitochondrial membrane organization
GO:1901334,lactone metabolic process
GO:0051056,regulation of small GTPase mediated signal transduction
GO:0022411,cellular component disassembly
GO:0006431,methionyl-tRNA aminoacylation
GO:0090351,seedling development
GO:0072655,establishment of protein localization to mitochondrion
GO:0009082,branched-chain amino acid biosynthetic process
GO:0008219,cell death
GO:0045892,"negative regulation of transcription, DNA-templated"
GO:0006879,cellular iron ion homeostasis
GO:0007091,metaphase/anaphase transition of mitotic cell cycle
GO:0001522,pseudouridine synthesis
GO:0010564,regulation of cell cycle process
GO:0043229,intracellular organelle
GO:0018160,peptidyl-pyrromethane cofactor linkage
GO:0045226,extracellular polysaccharide biosynthetic process
GO:0006476,protein deacetylation
GO:0072598,protein localization to chloroplast
GO:1904666,regulation of ubiquitin protein ligase activity
GO:0009637,response to blue light
GO:0006873,cellular ion homeostasis
GO:0009266,response to temperature stimulus
GO:0033045,regulation of sister chromatid segregation
GO:0002097,tRNA wobble base modification
GO:0006672,ceramide metabolic process
GO:0006275,regulation of DNA replication
GO:0009231,riboflavin biosynthetic process
GO:0010941,regulation of cell death
GO:0009208,pyrimidine ribonucleoside triphosphate metabolic process
GO:0008615,pyridoxine biosynthetic process
GO:0046451,diaminopimelate metabolic process
GO:0007008,outer mitochondrial membrane organization
GO:0071396,cellular response to lipid
GO:0016973,poly(A)+ mRNA export from nucleus
GO:1900140,regulation of seedling development
GO:0043545,molybdopterin cofactor metabolic process
GO:0009755,hormone-mediated signaling pathway
GO:1901987,regulation of cell cycle phase transition
GO:1900247,regulation of cytoplasmic translational elongation
GO:0000902,cell morphogenesis
GO:0006909,phagocytosis
GO:0004842,ubiquitin-protein transferase activity
GO:0008614,pyridoxine metabolic process
GO:0044242,cellular lipid catabolic process
GO:0006261,DNA-dependent DNA replication
GO:0046496,nicotinamide nucleotide metabolic process
GO:0006561,proline biosynthetic process
GO:0010038,response to metal ion
GO:0018198,peptidyl-cysteine modification
GO:0009106,lipoate metabolic process
GO:0006353,"DNA-templated transcription, termination"
GO:0034599,cellular response to oxidative stress
GO:0019787,ubiquitin-like protein transferase activity
GO:0014070,response to organic cyclic compound
GO:0010223,secondary shoot formation
GO:0046039,GTP metabolic process
GO:0006428,isoleucyl-tRNA aminoacylation
GO:0045893,"positive regulation of transcription, DNA-templated"
GO:0006168,adenine salvage
GO:0009808,lignin metabolic process
GO:1903047,mitotic cell cycle process
GO:0042126,nitrate metabolic process
GO:0006839,mitochondrial transport
GO:0048285,organelle fission
GO:0070887,cellular response to chemical stimulus
GO:0009873,ethylene-activated signaling pathway
GO:0072524,pyridine-containing compound metabolic process
GO:0044703,multi-organism reproductive process
GO:0006406,mRNA export from nucleus
GO:0018106,peptidyl-histidine phosphorylation
GO:0000103,sulfate assimilation
GO:0006542,glutamine biosynthetic process
GO:0046219,indolalkylamine biosynthetic process
GO:0012501,programmed cell death
GO:1902221,erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process
GO:0006166,purine ribonucleoside salvage
GO:0006228,UTP biosynthetic process
GO:0006611,protein export from nucleus
GO:0048518,positive regulation of biological process
GO:1903508,positive regulation of nucleic acid-templated transcription
GO:0002181,cytoplasmic translation
GO:0055072,iron ion homeostasis
GO:0000154,rRNA modification
GO:0006423,cysteinyl-tRNA aminoacylation
GO:0006595,polyamine metabolic process
GO:0008213,protein alkylation
GO:0071451,cellular response to superoxide
GO:0032065,maintenance of protein location in cell cortex
GO:0009085,lysine biosynthetic process
GO:0009174,pyrimidine ribonucleoside monophosphate biosynthetic process
GO:0043231,intracellular membrane-bounded organelle
GO:0006576,cellular biogenic amine metabolic process
GO:0009236,cobalamin biosynthetic process
GO:0042578,phosphoric ester hydrolase activity
GO:1902099,regulation of metaphase/anaphase transition of cell cycle
GO:1902222,erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process
GO:1990748,cellular detoxification
GO:0042435,indole-containing compound biosynthetic process
GO:0032507,maintenance of protein location in cell
GO:0030003,cellular cation homeostasis
GO:0009173,pyrimidine ribonucleoside monophosphate metabolic process
GO:0061659,ubiquitin-like protein ligase activity
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process
GO:0051306,mitotic sister chromatid separation
GO:0034440,lipid oxidation
GO:0051304,chromosome separation
GO:0046271,phenylpropanoid catabolic process
GO:0006183,GTP biosynthetic process
GO:0019395,fatty acid oxidation
GO:0044205,'de novo' UMP biosynthetic process
GO:0006144,purine nucleobase metabolic process
GO:0018279,protein N-linked glycosylation via asparagine
GO:0018193,peptidyl-amino acid modification
GO:0006448,regulation of translational elongation
GO:0045038,protein import into chloroplast thylakoid membrane
GO:0046365,monosaccharide catabolic process
GO:0030042,actin filament depolymerization
GO:0030259,lipid glycosylation
GO:0006536,glutamate metabolic process
GO:0006842,tricarboxylic acid transport
GO:0072329,monocarboxylic acid catabolic process
GO:0031669,cellular response to nutrient levels
GO:0000280,nuclear division
GO:0071806,protein transmembrane transport
GO:0006067,ethanol metabolic process
GO:0042981,regulation of apoptotic process
GO:0016575,histone deacetylation
GO:0031398,positive regulation of protein ubiquitination
GO:1903320,regulation of protein modification by small protein conjugation or removal
GO:0034308,primary alcohol metabolic process
GO:0046916,cellular transition metal ion homeostasis
GO:0042176,regulation of protein catabolic process
GO:0015693,magnesium ion transport
GO:1901070,guanosine-containing compound biosynthetic process
GO:0060548,negative regulation of cell death
GO:0042128,nitrate assimilation
GO:0017183,peptidyl-diphthamide biosynthetic process from peptidyl-histidine
GO:0043174,nucleoside salvage
GO:0016788,"hydrolase activity, acting on ester bonds"
GO:0015748,organophosphate ester transport
GO:0022618,ribonucleoprotein complex assembly
GO:0019307,mannose biosynthetic process
GO:0022604,regulation of cell morphogenesis
GO:0080134,regulation of response to stress
GO:0006525,arginine metabolic process
GO:0006024,glycosaminoglycan biosynthetic process
GO:0006002,fructose 6-phosphate metabolic process
GO:0043100,pyrimidine nucleobase salvage
GO:0010017,red or far-red light signaling pathway
GO:0031570,DNA integrity checkpoint
GO:0051606,detection of stimulus
GO:0006677,glycosylceramide metabolic process
GO:1902223,erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process
GO:0071692,protein localization to extracellular region
GO:0051883,killing of cells in other organism involved in symbiotic interaction
GO:0046937,phytochelatin metabolic process
GO:0006013,mannose metabolic process
GO:0006269,"DNA replication, synthesis of RNA primer"
GO:0006429,leucyl-tRNA aminoacylation
GO:0044403,symbiotic process
GO:0071897,DNA biosynthetic process
GO:0032784,"regulation of DNA-templated transcription, elongation"
GO:0044179,hemolysis in other organism
GO:0007127,meiosis I
GO:0009221,pyrimidine deoxyribonucleotide biosynthetic process
GO:0018298,protein-chromophore linkage
GO:0046497,nicotinate nucleotide metabolic process
GO:0006954,inflammatory response
GO:0046654,tetrahydrofolate biosynthetic process
GO:0009098,leucine biosynthetic process
GO:0012505,endomembrane system
GO:0002449,lymphocyte mediated immunity
GO:0048015,phosphatidylinositol-mediated signaling
GO:0051052,regulation of DNA metabolic process
GO:0030198,extracellular matrix organization
GO:0006744,ubiquinone biosynthetic process
GO:0043228,non-membrane-bounded organelle
GO:0035437,maintenance of protein localization in endoplasmic reticulum
GO:0071365,cellular response to auxin stimulus
GO:0006475,internal protein amino acid acetylation
GO:0019860,uracil metabolic process
GO:0046834,lipid phosphorylation
GO:0033517,myo-inositol hexakisphosphate metabolic process
GO:0006687,glycosphingolipid metabolic process
GO:0046514,ceramide catabolic process
GO:0006481,C-terminal protein methylation
GO:0043650,dicarboxylic acid biosynthetic process
GO:0045936,negative regulation of phosphate metabolic process
GO:0008653,lipopolysaccharide metabolic process
GO:0032958,inositol phosphate biosynthetic process
GO:0006097,glyoxylate cycle
GO:0019419,sulfate reduction
GO:0044089,positive regulation of cellular component biogenesis
GO:0043062,extracellular structure organization
GO:0010928,regulation of auxin mediated signaling pathway
GO:0042593,glucose homeostasis
GO:0000075,cell cycle checkpoint
GO:0010256,endomembrane system organization
GO:1903046,meiotic cell cycle process
GO:0019692,deoxyribose phosphate metabolic process
GO:0000726,non-recombinational repair
GO:0071668,plant-type cell wall assembly
GO:0009914,hormone transport
GO:0002437,inflammatory response to antigenic stimulus
GO:0006303,double-strand break repair via nonhomologous end joining
GO:0016068,type I hypersensitivity
GO:0006231,dTMP biosynthetic process
GO:0051241,negative regulation of multicellular organismal process
GO:0009832,plant-type cell wall biogenesis
GO:0000781,"chromosome, telomeric region"
GO:0000270,peptidoglycan metabolic process
GO:0046364,monosaccharide biosynthetic process
GO:0015780,nucleotide-sugar transmembrane transport
GO:0051130,positive regulation of cellular component organization
GO:0009177,pyrimidine deoxyribonucleoside monophosphate biosynthetic process
GO:0009225,nucleotide-sugar metabolic process
GO:0006379,mRNA cleavage
GO:0045010,actin nucleation
GO:0046938,phytochelatin biosynthetic process
GO:0006787,porphyrin-containing compound catabolic process
GO:0001906,cell killing
GO:0001907,killing by symbiont of host cells
GO:0030418,nicotianamine biosynthetic process
GO:0030203,glycosaminoglycan metabolic process
GO:0043289,apocarotenoid biosynthetic process
GO:0006368,transcription elongation from RNA polymerase II promoter
GO:0009583,detection of light stimulus
GO:0030838,positive regulation of actin filament polymerization
GO:0009733,response to auxin
GO:0031120,snRNA pseudouridine synthesis
GO:0040029,"regulation of gene expression, epigenetic"
GO:0006354,"DNA-templated transcription, elongation"
GO:0019566,arabinose metabolic process
GO:0043288,apocarotenoid metabolic process
GO:0006691,leukotriene metabolic process
GO:0031640,killing of cells of other organism
GO:0097549,chromatin organization involved in negative regulation of transcription
GO:0071266,'de novo' L-methionine biosynthetic process
GO:0043173,nucleotide salvage
GO:0030488,tRNA methylation
GO:0008616,queuosine biosynthetic process
GO:0051701,interaction with host
GO:0006783,heme biosynthetic process
GO:0016236,macroautophagy
GO:0034401,chromatin organization involved in regulation of transcription
GO:1905037,autophagosome organization
GO:0009405,pathogenesis
GO:0031145,anaphase-promoting complex-dependent catabolic process
GO:0048017,inositol lipid-mediated signaling
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0071025,RNA surveillance
GO:0002443,leukocyte mediated immunity
GO:0022610,biological adhesion
GO:0006438,valyl-tRNA aminoacylation
GO:0006426,glycyl-tRNA aminoacylation
GO:0045900,negative regulation of translational elongation
GO:0006140,regulation of nucleotide metabolic process
GO:0005783,endoplasmic reticulum
GO:0006570,tyrosine metabolic process
GO:0009211,pyrimidine deoxyribonucleoside triphosphate metabolic process
GO:0032776,DNA methylation on cytosine
GO:0009639,response to red or far red light
GO:0034250,positive regulation of cellular amide metabolic process
GO:0010508,positive regulation of autophagy
GO:0051495,positive regulation of cytoskeleton organization
GO:0045980,negative regulation of nucleotide metabolic process
GO:0009446,putrescine biosynthetic process
GO:0019295,coenzyme M biosynthetic process
GO:0006829,zinc ion transport
GO:0046466,membrane lipid catabolic process
GO:0006750,glutathione biosynthetic process
GO:0009585,"red, far-red light phototransduction"
GO:0007020,microtubule nucleation
GO:0006768,biotin metabolic process
GO:0030494,bacteriochlorophyll biosynthetic process
GO:0072595,maintenance of protein localization in organelle
GO:0035825,homologous recombination
GO:0043687,post-translational protein modification
GO:0098661,inorganic anion transmembrane transport
GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation"
GO:0060003,copper ion export
GO:0009157,deoxyribonucleoside monophosphate biosynthetic process
GO:0006743,ubiquinone metabolic process
GO:0006342,chromatin silencing
GO:0070481,"nuclear-transcribed mRNA catabolic process, non-stop decay"
GO:0009910,negative regulation of flower development
GO:0140013,meiotic nuclear division
GO:0051093,negative regulation of developmental process
GO:0019319,hexose biosynthetic process
GO:0006177,GMP biosynthetic process
GO:0032968,positive regulation of transcription elongation from RNA polymerase II promoter
GO:0007033,vacuole organization
GO:0006955,immune response
GO:0046373,L-arabinose metabolic process
GO:0006526,arginine biosynthetic process
GO:0006891,intra-Golgi vesicle-mediated transport
GO:0045905,positive regulation of translational termination
GO:0006433,prolyl-tRNA aminoacylation
GO:0006528,asparagine metabolic process
GO:0009657,plastid organization
GO:0009273,peptidoglycan-based cell wall biogenesis
GO:0019755,one-carbon compound transport
GO:0019310,inositol catabolic process
GO:0009790,embryo development
GO:0060918,auxin transport
GO:0045727,positive regulation of translation
GO:0016573,histone acetylation
GO:0019296,coenzyme M metabolic process
GO:0006562,proline catabolic process
GO:0090501,RNA phosphodiester bond hydrolysis
GO:0019370,leukotriene biosynthetic process
GO:0006690,icosanoid metabolic process
GO:0046037,GMP metabolic process
GO:0055067,monovalent inorganic cation homeostasis
GO:0010563,negative regulation of phosphorus metabolic process
GO:0009584,detection of visible light
GO:0006885,regulation of pH
GO:0040007,growth
GO:0006023,aminoglycan biosynthetic process
GO:0070646,protein modification by small protein removal
GO:0051321,meiotic cell cycle
GO:1901616,organic hydroxy compound catabolic process
GO:0019365,pyridine nucleotide salvage
GO:0002376,immune system process
GO:1902905,positive regulation of supramolecular fiber organization
GO:0080135,regulation of cellular response to stress
GO:0006302,double-strand break repair
GO:0000045,autophagosome assembly
GO:0022603,regulation of anatomical structure morphogenesis
GO:0060249,anatomical structure homeostasis
GO:0006826,iron ion transport
GO:0016598,protein arginylation
GO:0010638,positive regulation of organelle organization
GO:0018410,C-terminal protein amino acid modification
GO:0044419,interspecies interaction between organisms
GO:0043243,positive regulation of protein-containing complex disassembly
GO:0006348,chromatin silencing at telomere
GO:0046487,glyoxylate metabolic process
GO:0015914,phospholipid transport
GO:0019835,cytolysis
GO:0040031,snRNA modification
GO:0071489,cellular response to red or far red light
GO:0006420,arginyl-tRNA aminoacylation
GO:0002438,acute inflammatory response to antigenic stimulus
GO:0016073,snRNA metabolic process
GO:0018394,peptidyl-lysine acetylation
GO:0045901,positive regulation of translational elongation
GO:0033015,tetrapyrrole catabolic process
GO:0009095,"aromatic amino acid family biosynthetic process, prephenate pathway"
GO:0015840,urea transport
GO:0046490,isopentenyl diphosphate metabolic process
GO:0042168,heme metabolic process
GO:0044038,cell wall macromolecule biosynthetic process
GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
GO:0009103,lipopolysaccharide biosynthetic process
GO:0006446,regulation of translational initiation
GO:0009186,deoxyribonucleoside diphosphate metabolic process
GO:0031167,rRNA methylation
GO:0009102,biotin biosynthetic process
GO:0046653,tetrahydrofolate metabolic process
GO:0018393,internal peptidyl-lysine acetylation
GO:0006432,phenylalanyl-tRNA aminoacylation
GO:0009688,abscisic acid biosynthetic process
GO:0046174,polyol catabolic process
GO:0009687,abscisic acid metabolic process
